"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1897,field_1938,field_1939,field_1895,field_1896,field_1935,field_1934,field_1942,field_1943,field_1954,field_1955
"{
	""actions"":{
		""validation"":[

		],
		""reconciliation"":[

		]
	},
	""enforce_all_required_fields"":"""",
	""form_history"":""1dd3b020714dc4b9a3fd679eec0a5130"",
	""form_id"":""88"",
	""form_name"":""OPID Modification Form"",
	""has_desc"":"""",
	""import_type"":""data"",
	""is_tier1_form"":"""",
	""link_field_id"":"""",
	""link_field_label"":"""",
	""match_type"":""record_ids"",
	""options"":[

	],
	""record_action"":""update"",
	""secondary_form_history"":""ad0218ec77117ea11edd7e245fa7daa1"",
	""secondary_form_id"":""57"",
	""secondary_form_name"":""Client Tracking"",
	""secondary_is_tier1_form"":""1"",
	""selected_columns"":[
		""field_1938"",
		""field_1939"",
		""field_1895"",
		""field_1896"",
		""field_1935"",
		""field_1934"",
		""field_1942"",
		""field_1943"",
		""field_1954"",
		""field_1955"",
		""field_1897""
	],
	""skip_headers"":"""",
	""target_match_type"":""""
}",OPID Modification Form - Record ID,LBVD Modified Check Number,LBVD Modified Check Disposition,TID Modified Check Number,TID Modified Check Disposition,TDL Modified Check Number,TDL Modified Check Disposition,MBVD Modified Check Number,MBVD Modified Check Disposition,SDM Check Number,SDM Check Disposition
,275863,0,,77600,Voided/Reissued,0,,0,,0,
,276350,0,,77952,Not Used,0,,0,,0,
,276780,0,,78217,Cleared,0,,0,,0,
,276896,0,,78294,Voided/Reissued,0,,0,,0,
,277572,0,,0,,0,,0,,78758,Voided/No Reissue
,277635,78793,Voided/No Reissue,0,,0,,0,,0,
,276553,0,,78064,Voided,0,,0,,0,
,277381,0,,78611,Voided,0,,0,,0,
,277636,0,,78794,Voided,0,,0,,0,
,277680,0,,78819,Voided,0,,0,,0,
,277703,0,,78831,Voided,0,,0,,0,
,277941,0,,0,,78959,Voided,0,,0,
,278270,0,,79153,Voided,0,,0,,0,
,275938,0,,77647,Voided,0,,0,,0,
,275940,0,,77648,Voided,0,,0,,0,
,275936,0,,77649,Voided,0,,0,,0,
,276431,78011,Voided,0,,0,,0,,0,
