"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1897,field_1938,field_1939,field_1895,field_1896,field_1935,field_1934,field_1942,field_1943,field_1954,field_1955
"{
	""actions"":{
		""validation"":[

		],
		""reconciliation"":[

		]
	},
	""enforce_all_required_fields"":"""",
	""form_history"":""1dd3b020714dc4b9a3fd679eec0a5130"",
	""form_id"":""88"",
	""form_name"":""OPID Modification Form"",
	""has_desc"":"""",
	""import_type"":""data"",
	""is_tier1_form"":"""",
	""link_field_id"":"""",
	""link_field_label"":"""",
	""match_type"":""record_ids"",
	""options"":[

	],
	""record_action"":""update"",
	""secondary_form_history"":""ad0218ec77117ea11edd7e245fa7daa1"",
	""secondary_form_id"":""57"",
	""secondary_form_name"":""Client Tracking"",
	""secondary_is_tier1_form"":""1"",
	""selected_columns"":[
		""field_1938"",
		""field_1939"",
		""field_1895"",
		""field_1896"",
		""field_1935"",
		""field_1934"",
		""field_1942"",
		""field_1943"",
		""field_1954"",
		""field_1955"",
		""field_1897""
	],
	""skip_headers"":"""",
	""target_match_type"":""""
}",OPID Modification Form - Record ID,LBVD Modified Check Number,LBVD Modified Check Disposition,TID Modified Check Number,TID Modified Check Disposition,TDL Modified Check Number,TDL Modified Check Disposition,MBVD Modified Check Number,MBVD Modified Check Disposition,SDM Check Number,SDM Check Disposition
,278372,0,,79214,Voided,0,,0,,0,
,278633,0,,79386,Voided,0,,0,,0,
,278638,0,,0,,79391,Voided,0,,0,
,278660,0,,79411,Voided,0,,0,,0,
,278989,0,,0,,79594,Voided,0,,0,
,279143,79685,Voided,0,,0,,0,,0,
,279157,79691,Voided,0,,0,,0,,0,
,280168,0,,80221,Cleared,0,,0,,0,
,280335,80281,Cleared,80282,Cleared,0,,0,,0,
,280281,0,,80272,Cleared,0,,0,,0,
,280783,80403,Cleared,0,,0,,0,,0,
,280784,80403,Cleared,0,,0,,0,,0,
,281060,80418,Cleared,0,,0,,0,,0,
,281063,80481,Cleared,0,,0,,0,,0,
,281073,0,,80484,Cleared,0,,0,,0,
,281138,0,,0,,0,,80511,Cleared,0,
,279555,0,,0,,80531,Cleared,0,,0,
,276265,0,,0,,0,,80565,Cleared,0,
,281071,0,,80559,Cleared,0,,0,,0,
,273969,0,,80566,Cleared,0,,0,,0,
,280566,0,,0,,0,,80639,Cleared,0,
,154448,80608,Cleared,80609,Cleared,0,,0,,0,
,273935,0,,80746,Cleared,0,,0,,0,
,275227,0,,80889,Cleared,0,,0,,0,
,280381,0,,0,,80299,Voided,0,,0,
